TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH
bwuser,SBO_PUR_GR_GRET,9,UPDATEDATE,varchar,8
bwuser,SBO_PUR_GR_GRET,10,GRVALUE,numeric,
bwuser,SBO_PUR_GR_GRET,11,GRQUANTITY,numeric,
bwuser,SBO_PUR_GR_GRET,12,CURRENCY,nvarchar,3
bwuser,SBO_PUR_GR_GRET,13,BASEUNIT,varchar,2
bwuser,SBO_PUR_IV_CM,1,DOCENTRY,varchar,10
bwuser,SBO_PUR_IV_CM,2,LINENUM,int,
bwuser,SBO_PUR_IV_CM,3,RETURNID,varchar,1
bwuser,SBO_PUR_IV_CM,4,ITEMCODE,nvarchar,50
bwuser,SBO_PUR_IV_CM,5,CARDCODE,varchar,10
bwuser,SBO_PUR_IV_CM,6,GRID,varchar,1
bwuser,SBO_PUR_IV_CM,7,PODOCDATE,varchar,8
bwuser,SBO_PUR_IV_CM,8,DOCDATE,varchar,8
bwuser,SBO_PUR_IV_CM,9,CREATEDATE,varchar,8
bwuser,SBO_PUR_IV_CM,10,UPDATEDATE,varchar,8
bwuser,SBO_PUR_IV_CM,11,IVVALUE,numeric,
bwuser,SBO_PUR_IV_CM,12,IVQUANTITY,numeric,
bwuser,SBO_PUR_IV_CM,13,CURRENCY,nvarchar,3
bwuser,SBO_PUR_IV_CM,14,BASEUNIT,varchar,2
bwuser,SBO_PUR_PO,1,DOCENTRY,varchar,10
bwuser,SBO_PUR_PO,2,LINENUM,int,
bwuser,SBO_PUR_PO,3,CANCELLED,char,1
bwuser,SBO_PUR_PO,4,ITEMCODE,nvarchar,50
bwuser,SBO_PUR_PO,5,CARDCODE,varchar,10
bwuser,SBO_PUR_PO,6,DOCDATE,varchar,8
bwuser,SBO_PUR_PO,7,UPDATEDATE,varchar,8
bwuser,SBO_PUR_PO,8,ORDERVALUE,numeric,
bwuser,SBO_PUR_PO,9,ORDERQUANTITY,numeric,
bwuser,SBO_PUR_PO,10,CURRENCY,nvarchar,3
bwuser,SBO_PUR_PO,11,BASEUNIT,varchar,2
bwuser,SBO_SALES_DE,1,DOCNUM,int,
bwuser,SBO_SALES_DE,2,LINENUM,int,
bwuser,SBO_SALES_DE,3,CANCELLED,char,1
bwuser,SBO_SALES_DE,4,ITEMCODE,nvarchar,50
bwuser,SBO_SALES_DE,5,CARDCODE,nvarchar,15
bwuser,SBO_SALES_DE,6,SALESPERSON,int,
bwuser,SBO_SALES_DE,7,DOCDATE,varchar,8
bwuser,SBO_SALES_DE,8,UPDATEDATE,varchar,8
bwuser,SBO_SALES_DE,9,DELIVERYQUANTITY,numeric,
bwuser,SBO_SALES_DE,10,BASEUNIT,varchar,2
bwuser,SBO_SALES_IN,1,DOCNUM,int,
bwuser,SBO_SALES_IN,2,LINENUM,int,
bwuser,SBO_SALES_IN,3,CANCELLED,char,1
bwuser,SBO_SALES_IN,4,ITEMCODE,nvarchar,50
bwuser,SBO_SALES_IN,5,CARDCODE,nvarchar,15
bwuser,SBO_SALES_IN,6,SALESPERSON,int,
bwuser,SBO_SALES_IN,7,DOCDATE,varchar,8
bwuser,SBO_SALES_IN,8,UPDATEDATE,varchar,8
bwuser,SBO_SALES_IN,9,ORDERVALUE,numeric,
bwuser,SBO_SALES_IN,10,ORDERQUANTITY,numeric,
bwuser,SBO_SALES_IN,11,GROSSBYEPR,numeric,
bwuser,SBO_SALES_IN,12,CURRENCY,nvarchar,3
bwuser,SBO_SALES_IN,13,BASEUNIT,varchar,2
bwuser,SBO_SALES_SO,1,DOCNUM,int,
bwuser,SBO_SALES_SO,2,LINENUM,int,
bwuser,SBO_SALES_SO,3,CANCELLED,char,1
bwuser,SBO_SALES_SO,4,ITEMCODE,nvarchar,50
bwuser,SBO_SALES_SO,5,CARDCODE,nvarchar,15
bwuser,SBO_SALES_SO,6,SALESPERSON,int,
bwuser,SBO_SALES_SO,7,DOCDATE,varchar,8
bwuser,SBO_SALES_SO,8,UPDATEDATE,varchar,8
bwuser,SBO_SALES_SO,9,ORDERVALUE,numeric,
bwuser,SBO_SALES_SO,10,ORDERQUANTITY,numeric,
bwuser,SBO_SALES_SO,11,OPENORDQUANT,numeric,
bwuser,SBO_SALES_SO,12,GROSSBYEPR,numeric,
bwuser,SBO_SALES_SO,13,CURRENCY,nvarchar,3
bwuser,SBO_SALES_SO,14,BASEUNIT,varchar,2
bwuser,SBO_VENDOR_ATTR,1,CARDCODE,varchar,10
bwuser,SBO_VENDOR_ATTR,2,CITY,nvarchar,100
bwuser,SBO_VENDOR_ATTR,3,COUNTRY,nvarchar,3
bwuser,SBO_VENDOR_ATTR,4,FAX,nvarchar,20
bwuser,SBO_VENDOR_ATTR,5,CARDNAME,nvarchar,100
bwuser,SBO_VENDOR_ATTR,6,PHONE1,nvarchar,20
bwuser,SBO_VENDOR_ATTR,7,ZIPCODE,nvarchar,20
bwuser,SBO_VENDOR_ATTR,8,ADDRESS,nvarchar,100
bwuser,SBO_VENDOR_ATTR,9,CREATEDATE,varchar,8
bwuser,SBO_VENDOR_ATTR,10,UPDATEDATE,varchar,8
bwuser,SBO_VENDOR_TEXT,1,CARDCODE,varchar,10
bwuser,SBO_VENDOR_TEXT,2,CARDNAME,nvarchar,100
bwuser,SBO_VENDOR_TEXT,3,UPDATEDATE,varchar,8
bwuser,SBO_VENDOR_TEXT,4,CREATEDATE,varchar,8
dbo,@ABOY_40_CONFIG,1,DocEntry,int,
dbo,@ABOY_40_CONFIG,2,DocNum,int,
dbo,@ABOY_40_CONFIG,3,Period,int,
dbo,@ABOY_40_CONFIG,4,Instance,smallint,
dbo,@ABOY_40_CONFIG,5,Series,int,
dbo,@ABOY_40_CONFIG,6,Handwrtten,char,1
dbo,@ABOY_40_CONFIG,7,Canceled,char,1
dbo,@ABOY_40_CONFIG,8,Object,nvarchar,20
dbo,@ABOY_40_CONFIG,9,LogInst,int,
dbo,@ABOY_40_CONFIG,10,UserSign,int,
dbo,@ABOY_40_CONFIG,11,Transfered,char,1
dbo,@ABOY_40_CONFIG,12,Status,char,1
dbo,@ABOY_40_CONFIG,13,CreateDate,datetime,
dbo,@ABOY_40_CONFIG,14,CreateTime,smallint,
dbo,@ABOY_40_CONFIG,15,UpdateDate,datetime,
dbo,@ABOY_40_CONFIG,16,UpdateTime,smallint,
dbo,@ABOY_40_CONFIG,17,DataSource,char,1
dbo,@ABOY_40_CONFIG,18,RequestStatus,char,1
dbo,@ABOY_40_CONFIG,19,Creator,nvarchar,8
dbo,@ABOY_40_CONFIG,20,Remark,ntext,1073741823
dbo,@ABOY_40_CONFIG,21,U_BOY_NAME,nvarchar,100
dbo,@ABOY_40_CONFIG,22,U_BOY_TYPE,int,
dbo,@ABOY_40_CONFIG,23,U_BOY_SORT,int,
dbo,@ABOY_40_CONFIG,24,U_BOY_COMM,ntext,1073741823
dbo,@ABOY_40_CONFIG,25,U_BOY_AKT,char,1
dbo,@ABOY_40_CONFIG,26,U_BOY_CATE,nvarchar,50
dbo,@ABOY_40_CONFIG,27,U_BOY_USR,ntext,1073741823
dbo,@ABOY_40_CONFIG,28,U_BOY_USRS,char,1
dbo,@ABOY_40_CONFIG,29,U_BOY_NUP,nvarchar,50
dbo,@ABOY_40_CONFIG,30,U_BOY_SITM,nvarchar,10
dbo,@ABOY_40_CONFIG,31,U_BOY_SCOL,nvarchar,20
dbo,@ABOY_40_CONFIG,32,U_BOY_SCOM,int,
dbo,@ABOY_40_CONFIG,33,U_BOY_SVAL,nvarchar,254
dbo,@ABOY_40_CONFIG,34,U_BOY_STYP,int,
dbo,@ABOY_40_CONFIG,35,U_BOY_SUF,nvarchar,50
dbo,@ABOY_40_CONFIG,36,U_BOY_ASQL,ntext,1073741823
dbo,@ABOY_40_CONFIG,37,U_BOY_FORM,nvarchar,254
dbo,@ABOY_40_CONFIG,38,U_BOY_EVT,int,
dbo,@ABOY_40_CONFIG,39,U_BOY_BEA,smallint,
dbo,@ABOY_40_CONFIG,40,U_BOY_ACS,smallint,
dbo,@ABOY_40_CONFIG,41,U_BOY_BBE,smallint,
dbo,@ABOY_40_CONFIG,42,U_BOY_ITC,smallint,
dbo,@ABOY_40_CONFIG,43,U_BOY_INE,smallint,
dbo,@ABOY_40_CONFIG,44,U_BOY_ITM,nvarchar,254
dbo,@ABOY_40_CONFIG,45,U_BOY_COL,nvarchar,254
dbo,@ABOY_40_CONFIG,46,U_BOY_ROW,int,
dbo,@ABOY_40_CONFIG,47,U_BOY_MODE,int,
dbo,@ABOY_40_CONFIG,48,U_BOY_CHP,int,
dbo,@ABOY_40_CONFIG,49,U_BOY_MODI,int,
dbo,@ABOY_40_CONFIG,50,U_BOY_PREEVTLOOP,char,1
dbo,@ABOY_40_CONFIG,51,U_BOY_MENU,nvarchar,254
dbo,@ABOY_40_CONFIGLINES,1,DocEntry,int,
dbo,@ABOY_40_CONFIGLINES,2,LineId,int,
dbo,@ABOY_40_CONFIGLINES,3,VisOrder,int,
dbo,@ABOY_40_CONFIGLINES,4,Object,nvarchar,20
dbo,@ABOY_40_CONFIGLINES,5,LogInst,int,
dbo,@ABOY_40_CONFIGLINES,6,U_BOY_RES,nvarchar,100
dbo,@ABOY_40_CONFIGLINES,7,U_BOY_UF,nvarchar,50
dbo,@ABOY_41_FUNC_L01,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L01,2,LineId,int,
dbo,@ABOY_41_FUNC_L01,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L01,4,LogInst,int,
dbo,@ABOY_41_FUNC_L01,5,U_BOY_ITM,nvarchar,10
dbo,@ABOY_41_FUNC_L01,6,U_BOY_COL,nvarchar,52
dbo,@ABOY_41_FUNC_L01,7,U_BOY_DESC,nvarchar,100
dbo,@ABOY_41_FUNC_L01,8,U_BOY_ILL,char,1
dbo,@ABOY_41_FUNC_L01,9,U_BOY_VV,nvarchar,254
dbo,@ABOY_41_FUNC_L01,10,U_BOY_ETV,nvarchar,100
dbo,@ABOY_41_FUNC_L01,11,U_BOY_VTYP,int,
dbo,@ABOY_41_FUNC_L02,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L02,2,LineId,int,
dbo,@ABOY_41_FUNC_L02,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L02,4,LogInst,int,
dbo,@ABOY_41_FUNC_L02,5,U_BOY_ACT,char,1
dbo,@ABOY_41_FUNC_L02,6,U_BOY_BFLD,nvarchar,52
dbo,@ABOY_41_FUNC_L02,7,U_BOY_BTBL,nvarchar,20
dbo,@ABOY_41_FUNC_L02,8,U_BOY_DESC,nvarchar,100
dbo,@ABOY_41_FUNC_L02,9,U_BOY_EAD,char,1
dbo,@ABOY_41_FUNC_L02,10,U_BOY_EFI,char,1
dbo,@ABOY_41_FUNC_L02,11,U_BOY_EOK,char,1
dbo,@ABOY_41_FUNC_L02,12,U_BOY_FPN,int,
dbo,@ABOY_41_FUNC_L02,13,U_BOY_HGT,int,
dbo,@ABOY_41_FUNC_L02,14,U_BOY_LFT,int,
dbo,@ABOY_41_FUNC_L02,15,U_BOY_TOP,int,
dbo,@ABOY_41_FUNC_L02,16,U_BOY_TPN,int,
dbo,@ABOY_41_FUNC_L02,17,U_BOY_TYP,nvarchar,8
dbo,@ABOY_41_FUNC_L02,18,U_BOY_UID,nvarchar,10
dbo,@ABOY_41_FUNC_L02,19,U_BOY_WDT,int,
dbo,@ABOY_41_FUNC_L02,20,U_BOY_VV,nvarchar,254
dbo,@ABOY_41_FUNC_L02,21,U_BOY_AFM,char,1
dbo,@ABOY_41_FUNC_L02,22,U_BOY_RJ,char,1
dbo,@ABOY_41_FUNC_L02,23,U_BOY_SZ,char,1
dbo,@ABOY_41_FUNC_L02,24,U_BOY_TS,nvarchar,8
dbo,@ABOY_41_FUNC_L02,25,U_BOY_FC,int,
dbo,@ABOY_41_FUNC_L02,26,U_BOY_BC,int,
dbo,@ABOY_41_FUNC_L02,27,U_BOY_FS,int,
dbo,@ABOY_41_FUNC_L02,28,U_BOY_LO,nvarchar,20
dbo,@ABOY_41_FUNC_L02,29,U_BOY_LT,nvarchar,10
dbo,@ABOY_41_FUNC_L02,30,U_BOY_GW,nvarchar,10
dbo,@ABOY_41_FUNC_L02,31,U_BOY_VOFF,nvarchar,254
dbo,@ABOY_41_FUNC_L02,32,U_BOY_VON,nvarchar,254
dbo,@ABOY_41_FUNC_L02,33,U_BOY_ISPASS,char,1
dbo,@ABOY_41_FUNC_L03,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L03,2,LineId,int,
dbo,@ABOY_41_FUNC_L03,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L03,4,LogInst,int,
dbo,@ABOY_41_FUNC_L03,5,U_BOY_PAR,nvarchar,254
dbo,@ABOY_41_FUNC_L03,6,U_BOY_VAL,ntext,1073741823
dbo,@ABOY_41_FUNC_L03,7,U_BOY_REMARKS,nvarchar,254
dbo,@ABOY_41_FUNC_L04,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L04,2,LineId,int,
dbo,@ABOY_41_FUNC_L04,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L04,4,LogInst,int,
dbo,@ABOY_41_FUNC_L04,5,U_BOY_LL_RES,nvarchar,254
dbo,@ABOY_41_FUNC_L04,6,U_BOY_LL_BL,char,1
dbo,@ABOY_41_FUNC_L04,7,U_BOY_LL_LUF,nvarchar,50
dbo,@ABOY_41_FUNC_L04,8,U_BOY_LL_FPUF,nvarchar,50
dbo,@ABOY_41_FUNC_L04,9,U_BOY_LL_FRVEX,ntext,1073741823
dbo,@ABOY_41_FUNC_L04,10,U_BOY_LL_FRT,int,
dbo,@ABOY_41_FUNC_L05,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L05,2,LineId,int,
dbo,@ABOY_41_FUNC_L05,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L05,4,LogInst,int,
dbo,@ABOY_41_FUNC_L05,5,U_BOY_LL_FRC,int,
dbo,@ABOY_41_FUNC_L05,6,U_BOY_LL_FRUF,nvarchar,50
dbo,@ABOY_41_FUNC_L05,7,U_BOY_LL_FRCCV,nvarchar,254
dbo,@ABOY_41_FUNC_L05,8,U_BOY_LL_FRCT,int,
dbo,@ABOY_41_FUNC_L05,9,U_BOY_LL_FRCVT,int,
dbo,@ABOY_41_FUNC_L06,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L06,2,LineId,int,
dbo,@ABOY_41_FUNC_L06,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L06,4,LogInst,int,
dbo,@ABOY_41_FUNC_L06,5,U_BOY_FE_KEY,nvarchar,254
dbo,@ABOY_41_FUNC_L06,6,U_BOY_FE_DATA,ntext,1073741823
dbo,@ABOY_41_FUNC_L06,7,U_BOY_FE_TYPE,int,
dbo,@ABOY_41_FUNC_L07,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L07,2,LineId,int,
dbo,@ABOY_41_FUNC_L07,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L07,4,LogInst,int,
dbo,@ABOY_41_FUNC_L07,5,U_BOY_PAR,nvarchar,254
dbo,@ABOY_41_FUNC_L07,6,U_BOY_VAL,ntext,1073741823
dbo,@ABOY_41_FUNC_L07,7,U_BOY_REMARKS,nvarchar,254
dbo,@ABOY_41_FUNC_L08,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L08,2,LineId,int,
dbo,@ABOY_41_FUNC_L08,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L08,4,LogInst,int,
dbo,@ABOY_41_FUNC_L08,5,U_FIELD_NAME,nvarchar,254
dbo,@ABOY_41_FUNC_L08,6,U_KEY,ntext,1073741823
dbo,@ABOY_41_FUNC_L08,7,U_CAPTION,nvarchar,254
dbo,@ABOY_41_FUNC_L08,8,U_VISIBLE,char,1
dbo,@ABOY_41_FUNC_L08,9,U_EDITABLE,char,1
dbo,@ABOY_41_FUNC_L09,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L09,2,LineId,int,
dbo,@ABOY_41_FUNC_L09,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L09,4,LogInst,int,
dbo,@ABOY_41_FUNC_L10,1,Code,nvarchar,50
dbo,@ABOY_41_FUNC_L10,2,LineId,int,
dbo,@ABOY_41_FUNC_L10,3,Object,nvarchar,20
dbo,@ABOY_41_FUNC_L10,4,LogInst,int,
dbo,@ABOY_41_FUNCTIONS,1,Code,nvarchar,50
dbo,@ABOY_41_FUNCTIONS,2,Name,nvarchar,100
dbo,@ABOY_41_FUNCTIONS,3,DocEntry,int,
dbo,@ABOY_41_FUNCTIONS,4,Canceled,char,1
dbo,@ABOY_41_FUNCTIONS,5,Object,nvarchar,20
dbo,@ABOY_41_FUNCTIONS,6,LogInst,int,
dbo,@ABOY_41_FUNCTIONS,7,UserSign,int,
dbo,@ABOY_41_FUNCTIONS,8,Transfered,char,1
dbo,@ABOY_41_FUNCTIONS,9,CreateDate,datetime,
dbo,@ABOY_41_FUNCTIONS,10,CreateTime,smallint,
dbo,@ABOY_41_FUNCTIONS,11,UpdateDate,datetime,
dbo,@ABOY_41_FUNCTIONS,12,UpdateTime,smallint,
dbo,@ABOY_41_FUNCTIONS,13,DataSource,char,1
dbo,@ABOY_41_FUNCTIONS,14,U_BOY_CRDS,int,
dbo,@ABOY_41_FUNCTIONS,15,U_BOY_CALENDAR,nvarchar,254
dbo,@ABOY_41_FUNCTIONS,16,U_BOY_TIT,nvarchar,100
dbo,@ABOY_41_FUNCTIONS,17,U_BOY_STA,nvarchar,2
dbo,@ABOY_41_FUNCTIONS,18,U_BOY_HGT,int,
dbo,@ABOY_41_FUNCTIONS,19,U_BOY_WDT,int,
dbo,@ABOY_41_FUNCTIONS,20,U_BOY_CALVSTYLE,smallint,
dbo,@ABOY_41_FUNCTIONS,21,U_BOY_CALSIDE,char,1
dbo,@ABOY_41_FUNCTIONS,22,U_BOY_CALWHO,char,1
dbo,@ABOY_41_FUNCTIONS,23,U_BOY_CARMKS,nvarchar,254
dbo,@ABOY_41_FUNCTIONS,24,U_BOY_CACON,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,25,U_BOY_CAAR,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,26,U_BOY_CAIGMIAT,char,1
dbo,@ABOY_41_FUNCTIONS,27,U_BOY_CAACT,int,
dbo,@ABOY_41_FUNCTIONS,28,U_BOY_CAACTT,int,
dbo,@ABOY_41_FUNCTIONS,29,U_BOY_CAAST,int,
dbo,@ABOY_41_FUNCTIONS,30,U_BOY_CAASV,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,31,U_BOY_CASUB,int,
dbo,@ABOY_41_FUNCTIONS,32,U_BOY_CAPER,char,1
dbo,@ABOY_41_FUNCTIONS,33,U_BOY_CAINC,char,1
dbo,@ABOY_41_FUNCTIONS,34,U_BOY_CAOCA,char,1
dbo,@ABOY_41_FUNCTIONS,35,U_BOY_CACLO,char,1
dbo,@ABOY_41_FUNCTIONS,36,U_BOY_CARE,char,1
dbo,@ABOY_41_FUNCTIONS,37,U_BOY_CABPC,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,38,U_BOY_CACNCT,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,39,U_BOY_CAREP,numeric,
dbo,@ABOY_41_FUNCTIONS,40,U_BOY_CARET,int,
dbo,@ABOY_41_FUNCTIONS,41,U_BOY_CADURT,int,
dbo,@ABOY_41_FUNCTIONS,42,U_BOY_CADFN,smallint,
dbo,@ABOY_41_FUNCTIONS,43,U_BOY_CADUR,numeric,
dbo,@ABOY_41_FUNCTIONS,44,U_BOY_CATIME,smallint,
dbo,@ABOY_41_FUNCTIONS,45,U_BOY_CAILT,nvarchar,254
dbo,@ABOY_41_FUNCTIONS,46,U_BOY_CAILV,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,47,U_BOY_CASTYP,char,1
dbo,@ABOY_41_FUNCTIONS,48,U_BOY_CAASTD,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,49,U_BOY_CAAED,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,50,U_BOY_DASHBOARD,nvarchar,254
dbo,@ABOY_41_FUNCTIONS,51,U_BOY_DBFP,nvarchar,254
dbo,@ABOY_41_FUNCTIONS,52,U_BOY_DBFT,smallint,
dbo,@ABOY_41_FUNCTIONS,53,U_BOY_SHOWDB,char,1
dbo,@ABOY_41_FUNCTIONS,54,U_BOY_SAVEDB,char,1
dbo,@ABOY_41_FUNCTIONS,55,U_BOY_OSDB,char,1
dbo,@ABOY_41_FUNCTIONS,56,U_BOY_DASHVAR,ntext,1073741823
dbo,@ABOY_41_FUNCTIONS,57,U_BOY_DASHVARTI,nvarchar,254
